word,start,end,score,speaker
Soal,0.071,0.391,0.879,SPEAKER_05
selanjutnya.,0.511,3.052,0.746,SPEAKER_05
Tadi,3.693,3.993,0.458,SPEAKER_05
kami,4.073,4.353,0.874,SPEAKER_05
menjawabnya,4.453,4.813,0.434,SPEAKER_05
sama,4.873,5.113,0.748,SPEAKER_05
seperti,5.153,5.533,0.885,SPEAKER_05
regu,5.613,5.814,0.851,SPEAKER_05
B.,5.874,6.014,0.688,SPEAKER_05
Sama.,7.314,7.614,0.961,SPEAKER_05
Silahkan,8.135,8.375,0.81,SPEAKER_05
Dewan,8.395,8.575,0.989,SPEAKER_05
Juri,8.635,8.735,0.512,SPEAKER_05
untuk,8.755,8.895,0.246,SPEAKER_05
tanggapannya.,8.935,9.415,0.938,SPEAKER_05
Tadi,10.516,10.776,0.939,SPEAKER_01
disebutkan,10.836,11.716,0.817,SPEAKER_01
regu,12.997,13.757,0.945,SPEAKER_01
C,14.117,14.137,0.59,SPEAKER_01
"ya,",14.297,14.457,0.838,SPEAKER_01
itu,15.278,15.998,0.983,SPEAKER_01
pertimbangan,16.178,16.878,0.841,SPEAKER_01
dari,16.958,17.218,0.915,SPEAKER_01
DPD-nya,17.319,18.019,0.849,SPEAKER_01
tidak,18.439,18.639,0.805,SPEAKER_01
"ada,",18.679,18.939,0.869,SPEAKER_01
DPR,19.319,19.76,0.87,SPEAKER_01
tadi.,19.78,19.96,0.443,SPEAKER_01
"Ada,",20.0,20.3,0.95,SPEAKER_02
ada.,20.62,20.9,0.994,SPEAKER_02
C2.,22.381,22.601,0.879,SPEAKER_02
Anggota,24.806,26.147,0.896,SPEAKER_02
badan,26.207,26.427,0.673,SPEAKER_02
pemeriksa,26.487,26.847,0.733,SPEAKER_02
keuangan,26.867,27.327,0.718,SPEAKER_02
dipilih,27.768,28.108,0.619,SPEAKER_02
oleh,28.168,28.368,0.864,SPEAKER_02
Dewan,28.428,28.668,0.762,SPEAKER_02
Perwakilan,28.768,29.148,0.692,SPEAKER_02
AKED,29.208,29.528,0.634,SPEAKER_02
dengan,30.069,30.269,0.897,SPEAKER_02
memperhatikan,30.289,30.709,0.66,SPEAKER_02
pertimbangan,30.749,31.289,0.753,SPEAKER_02
Dewan,31.449,31.629,0.85,SPEAKER_02
Perwakilan,31.689,32.029,0.459,SPEAKER_02
Daerah,32.089,32.35,0.688,SPEAKER_02
dan,32.39,32.51,0.852,SPEAKER_02
diresmikan,32.57,32.99,0.75,SPEAKER_02
oleh,33.05,33.17,0.886,SPEAKER_02
Presiden.,33.21,33.61,0.794,SPEAKER_02
Bagaimana,34.811,35.111,0.879,SPEAKER_05
